course_id,course_name,category,weekly_hours,has_syllabus_url,has_parsed_syllabus_text,source_board_json,source_repo_json,source_merged_json,source_raw_json,source_syllabus_json,supabase_offered_semesters,supabase_effective_semesters,merged_json_semester,raw_json_semesters,override_semesters,semester_in_any_source,semester_source,effective_semester_value,app_offered_semesters,app_effective_semesters,semester_in_app,merged_prereq_ids,prereq_raw_text_snippet,supabase_prereq_text,prereqs_on_mandatory_board,prereqs_in_repo_elective_pool,prereqs_NOT_in_map_foundational,prereq_only_as_text,schedulability_status,problem_category,problem_hebrew,can_fix_automatically,required_fix
0542-4322,תכנון תרמי של ציוד אלקטרוני,other_specialization,4,False,False,False,True,False,False,False,,,,,,False,,[],,,False,,,False,,,,False,unschedulable,syllabus_exists_but_not_parsed,"אין מידע על סמסטר, אין syllabus מפורסם, אין JSON מפוענח",False,upstream: scrape course page + parse syllabus
0542-4351,הנדסה ימית,other_specialization,4,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,True,,,,True,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
0542-4352,דינמיקת הגזים,fluids,4,True,True,False,True,True,True,True,"[""A""]",,A,"[""A""]",,True,supabase:offered_semesters,"[""A""]","[""A""]","[""A""]",True,"[""0542-2500"", ""0542-2600""]",מכניקת הזורמים (1) (05422500) + תרמודינמיקה (1) (05422600) דרישות קדם ספציפיות בקורס בהתאם לתוכנית ה...,True,"[""0542-2500""]",,"[""0542-2600""]",False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0542-4391,מעבדה בסימולציות נומריות בזרימה ומעבר חום,advanced_labs,3.5,True,True,False,True,False,False,False,"[""A""]",,,,,True,supabase:offered_semesters,"[""A""]","[""A""]","[""A""]",True,,,True,,,,True,schedulable_with_caveat,prerequisites_only_in_text,דרישות קדם קיימות רק כטקסט עברי — לא מפורסמות כ-IDs,False,parse syllabus_prerequisites_he to extract course IDs
0542-4420,תורת המכונות,systems,4,True,True,False,True,False,False,False,"[""A""]",,,,,True,supabase:offered_semesters,"[""A""]","[""A""]","[""A""]",True,,,True,,,,True,schedulable_with_caveat,prerequisites_only_in_text,דרישות קדם קיימות רק כטקסט עברי — לא מפורסמות כ-IDs,False,parse syllabus_prerequisites_he to extract course IDs
0542-4422,תכן הנדסי: מבוא ושיטות,systems,4,True,True,False,True,False,False,False,"[""A""]",,,,,True,supabase:offered_semesters,"[""A""]","[""A""]","[""A""]",True,,,True,,,,True,schedulable_with_caveat,prerequisites_only_in_text,דרישות קדם קיימות רק כטקסט עברי — לא מפורסמות כ-IDs,False,parse syllabus_prerequisites_he to extract course IDs
0542-4425,הדפסת תלת מימד ותכן חלקי פלסטיקה,other_specialization,3,True,True,False,True,True,True,True,,,B,"[""B""]","[""B""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""B""]","[""B""]","[""B""]",True,"[""0509-1510"", ""0542-2400"", ""0542-3780"", ""0542-3791""]",גרפיקה הנדסית (05091510) + תכן מכני (1) (05422400) + תהליכי עיבוד (1) (05423780) + תהליכי עיבוד - מע...,True,"[""0542-2400"", ""0542-3780"", ""0542-3791""]",,"[""0509-1510""]",False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0542-4455,בינה חישובית,systems,4,True,True,False,True,False,False,False,"[""B""]",,,,,True,supabase:offered_semesters,"[""B""]","[""B""]","[""B""]",True,,,True,,,,True,schedulable_with_caveat,prerequisites_only_in_text,דרישות קדם קיימות רק כטקסט עברי — לא מפורסמות כ-IDs,False,parse syllabus_prerequisites_he to extract course IDs
0542-4524,מבוא להנדסת חלל,other_specialization,4,True,True,False,True,True,True,True,,,A,"[""A""]","[""A""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""A""]","[""A""]","[""A""]",True,"[""0542-2200"", ""0542-3620""]",מכניקת המוצקים (1) (05422200) + מעבר חם (05423620) דרישות קדם ספציפיות בקורס בהתאם לתוכנית הלימודים ...,True,"[""0542-3620""]",,"[""0542-2200""]",False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0542-4527,מכניקת המסלולים של לוויינים,other_specialization,4,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,True,,,,True,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
